iter	Passed	Remaining
0	0	31
1	0	31
2	0	30
3	1	28
4	1	28
5	1	27
6	2	27
7	2	27
8	2	28
9	3	29
10	3	30
11	4	31
12	5	33
13	5	35
14	6	36
15	6	36
16	7	36
17	7	36
18	8	35
19	8	35
20	9	35
21	10	35
22	10	35
23	11	35
24	11	35
25	12	36
26	13	36
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	16	31
35	17	30
36	17	30
37	18	29
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	21	23
48	22	23
49	22	22
50	22	21
51	23	21
52	23	20
53	23	20
54	24	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	16
61	26	16
62	27	16
63	27	15
64	28	15
65	28	14
66	28	14
67	29	13
68	29	13
69	29	12
70	30	12
71	30	12
72	31	11
73	31	11
74	32	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	35	7
83	35	6
84	35	6
85	36	5
86	36	5
87	36	5
88	37	4
89	37	4
90	37	3
91	38	3
92	38	2
93	39	2
94	39	2
95	40	1
96	40	1
97	40	0
98	41	0
99	41	0
